HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Title,Input.Poem,Answer.keyword1,Answer.keyword2,Answer.keyword3,Answer.mood,Approve,Reject
3XBYQ44Z6PJABXCR3GC2UN4WV3XTWI,3XJ64T7AMS3U1PLAX8HIE2XMD8HTWW,Poem Analysis,Read a poem and determine its mood and some key words.,"Poetry, poem, mood, keywords, text",$0.01 ,Fri Apr 12 11:14:09 PDT 2019,3,BatchId:3605104;OriginalHitTemplateId:928390877;,3600,259200,Fri Apr 19 11:14:09 PDT 2019,,,3IOEN3P9S8YEVIJ60HKQE6IDVKI16P,AMZ59DGY7I2ZI,Submitted,Fri Apr 12 11:46:32 PDT 2019,Fri Apr 12 11:47:13 PDT 2019,Mon Apr 15 11:47:13 PDT 2019,,,,41,0% (0/0),0% (0/0),0% (0/0),INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,<br>If you are a dreamer, a wisher, a liar,<br>A hope-er, a pray-er, a magic bean buyer…<br>If you’re a pretender, come sit by my fire<br>For we have some flax-golden tales to spin.<br>Come in!<br>Come in!",dreamer,story,invitation,Happy,,
3XBYQ44Z6PJABXCR3GC2UN4WV3XTWI,3XJ64T7AMS3U1PLAX8HIE2XMD8HTWW,Poem Analysis,Read a poem and determine its mood and some key words.,"Poetry, poem, mood, keywords, text",$0.01 ,Fri Apr 12 11:14:09 PDT 2019,3,BatchId:3605104;OriginalHitTemplateId:928390877;,3600,259200,Fri Apr 19 11:14:09 PDT 2019,,,3QHK8ZVMINXXR145PIJH91DJ7TZLB5,A3UOS4W5OWXDJQ,Submitted,Fri Apr 12 15:35:24 PDT 2019,Fri Apr 12 15:35:53 PDT 2019,Mon Apr 15 15:35:53 PDT 2019,,,,29,0% (0/0),0% (0/0),0% (0/0),INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,<br>If you are a dreamer, a wisher, a liar,<br>A hope-er, a pray-er, a magic bean buyer…<br>If you’re a pretender, come sit by my fire<br>For we have some flax-golden tales to spin.<br>Come in!<br>Come in!",flax-golden,hope-er,dreamer,Neutral,,
3XBYQ44Z6PJABXCR3GC2UN4WV3XTWI,3XJ64T7AMS3U1PLAX8HIE2XMD8HTWW,Poem Analysis,Read a poem and determine its mood and some key words.,"Poetry, poem, mood, keywords, text",$0.01 ,Fri Apr 12 11:14:09 PDT 2019,3,BatchId:3605104;OriginalHitTemplateId:928390877;,3600,259200,Fri Apr 19 11:14:09 PDT 2019,,,3ZDAD0O1T2SSNHFB3NDQKPESKARTX9,A2C7EYRPWL8B3L,Submitted,Fri Apr 12 16:46:19 PDT 2019,Fri Apr 12 16:46:57 PDT 2019,Mon Apr 15 16:46:57 PDT 2019,,,,38,0% (0/0),0% (0/0),0% (0/0),INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,<br>If you are a dreamer, a wisher, a liar,<br>A hope-er, a pray-er, a magic bean buyer…<br>If you’re a pretender, come sit by my fire<br>For we have some flax-golden tales to spin.<br>Come in!<br>Come in!",dreamer,wisher,tales,Happy,,
3P458N04Q1WVGYN4U6OSVJ9D4SQX2N,3XJ64T7AMS3U1PLAX8HIE2XMD8HTWW,Poem Analysis,Read a poem and determine its mood and some key words.,"Poetry, poem, mood, keywords, text",$0.01 ,Fri Apr 12 11:14:09 PDT 2019,3,BatchId:3605104;OriginalHitTemplateId:928390877;,3600,259200,Fri Apr 19 11:14:09 PDT 2019,,,339ANSOTR6HWU30TASZXGO4HDJFIK9,A3UOS4W5OWXDJQ,Submitted,Fri Apr 12 15:46:25 PDT 2019,Fri Apr 12 15:46:53 PDT 2019,Mon Apr 15 15:46:53 PDT 2019,,,,28,0% (0/0),0% (0/0),0% (0/0),"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?<br>Depends how loud you shut it.<br>How many slices in a bread?<br>Depends how thin you cut it.<br>How much good inside a day?<br>Depends how good you live ‘em.<br>How much love inside a friend?<br>Depends how much you give ‘em.,door,bread,friend,Happy,,
3P458N04Q1WVGYN4U6OSVJ9D4SQX2N,3XJ64T7AMS3U1PLAX8HIE2XMD8HTWW,Poem Analysis,Read a poem and determine its mood and some key words.,"Poetry, poem, mood, keywords, text",$0.01 ,Fri Apr 12 11:14:09 PDT 2019,3,BatchId:3605104;OriginalHitTemplateId:928390877;,3600,259200,Fri Apr 19 11:14:09 PDT 2019,,,3E1QT0TDFQOCZ2YS132UQJVQIHJI8K,AMZ59DGY7I2ZI,Submitted,Fri Apr 12 11:45:39 PDT 2019,Fri Apr 12 11:46:07 PDT 2019,Mon Apr 15 11:46:07 PDT 2019,,,,28,0% (0/0),0% (0/0),0% (0/0),"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?<br>Depends how loud you shut it.<br>How many slices in a bread?<br>Depends how thin you cut it.<br>How much good inside a day?<br>Depends how good you live ‘em.<br>How much love inside a friend?<br>Depends how much you give ‘em.,riddle,love,friend,Happy,,
3P458N04Q1WVGYN4U6OSVJ9D4SQX2N,3XJ64T7AMS3U1PLAX8HIE2XMD8HTWW,Poem Analysis,Read a poem and determine its mood and some key words.,"Poetry, poem, mood, keywords, text",$0.01 ,Fri Apr 12 11:14:09 PDT 2019,3,BatchId:3605104;OriginalHitTemplateId:928390877;,3600,259200,Fri Apr 19 11:14:09 PDT 2019,,,3OONKJ5DKDY5XM722AZ91IHD2W2BO6,A2AV3RBSUUG7KB,Submitted,Fri Apr 12 11:33:32 PDT 2019,Fri Apr 12 11:34:17 PDT 2019,Mon Apr 15 11:34:17 PDT 2019,,,,45,0% (0/0),0% (0/0),0% (0/0),"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?<br>Depends how loud you shut it.<br>How many slices in a bread?<br>Depends how thin you cut it.<br>How much good inside a day?<br>Depends how good you live ‘em.<br>How much love inside a friend?<br>Depends how much you give ‘em.,many,friend,love,Neutral,,
34KYK9TV2RNH8U11JPBGX4VPJJ2BSW,3XJ64T7AMS3U1PLAX8HIE2XMD8HTWW,Poem Analysis,Read a poem and determine its mood and some key words.,"Poetry, poem, mood, keywords, text",$0.01 ,Fri Apr 12 11:14:09 PDT 2019,3,BatchId:3605104;OriginalHitTemplateId:928390877;,3600,259200,Fri Apr 19 11:14:09 PDT 2019,,,37U1UTWH9W1PS11BRQW34BWH5F4R83,A3UOS4W5OWXDJQ,Submitted,Fri Apr 12 15:47:44 PDT 2019,Fri Apr 12 15:48:15 PDT 2019,Mon Apr 15 15:48:15 PDT 2019,,,,31,0% (0/0),0% (0/0),0% (0/0),LISTEN TO THE MUSTN’TS (Where the Sidewalk Ends),"Listen to the MUSTN’TS, child,<br>Listen to the DON’TS<br>Listen to the SHOULDN’TS<br>The IMPOSSIBLES, the WON’TS<br>Listen to the NEVER HAVES<br>Then lost close to me—<br>Anything can happen, child,<br>ANYTHING can be.",Child,Shouldn'ts,anything,Happy,,
34KYK9TV2RNH8U11JPBGX4VPJJ2BSW,3XJ64T7AMS3U1PLAX8HIE2XMD8HTWW,Poem Analysis,Read a poem and determine its mood and some key words.,"Poetry, poem, mood, keywords, text",$0.01 ,Fri Apr 12 11:14:09 PDT 2019,3,BatchId:3605104;OriginalHitTemplateId:928390877;,3600,259200,Fri Apr 19 11:14:09 PDT 2019,,,3II4UPYCOKM1XVI2VJIJLD0DKI0DQR,AMZ59DGY7I2ZI,Submitted,Fri Apr 12 12:16:04 PDT 2019,Fri Apr 12 12:16:31 PDT 2019,Mon Apr 15 12:16:31 PDT 2019,,,,27,0% (0/0),0% (0/0),0% (0/0),LISTEN TO THE MUSTN’TS (Where the Sidewalk Ends),"Listen to the MUSTN’TS, child,<br>Listen to the DON’TS<br>Listen to the SHOULDN’TS<br>The IMPOSSIBLES, the WON’TS<br>Listen to the NEVER HAVES<br>Then lost close to me—<br>Anything can happen, child,<br>ANYTHING can be.",anything,can,happen,Happy,,
34KYK9TV2RNH8U11JPBGX4VPJJ2BSW,3XJ64T7AMS3U1PLAX8HIE2XMD8HTWW,Poem Analysis,Read a poem and determine its mood and some key words.,"Poetry, poem, mood, keywords, text",$0.01 ,Fri Apr 12 11:14:09 PDT 2019,3,BatchId:3605104;OriginalHitTemplateId:928390877;,3600,259200,Fri Apr 19 11:14:09 PDT 2019,,,3QY7M81QH81Z5JJXR1V0PZE8Z3YK7A,A3897H4GBE4PSZ,Submitted,Fri Apr 12 15:13:47 PDT 2019,Fri Apr 12 15:14:48 PDT 2019,Mon Apr 15 15:14:48 PDT 2019,,,,61,0% (0/0),0% (0/0),0% (0/0),LISTEN TO THE MUSTN’TS (Where the Sidewalk Ends),"Listen to the MUSTN’TS, child,<br>Listen to the DON’TS<br>Listen to the SHOULDN’TS<br>The IMPOSSIBLES, the WON’TS<br>Listen to the NEVER HAVES<br>Then lost close to me—<br>Anything can happen, child,<br>ANYTHING can be.",impoissible,wonts,never haves,Happy,,
307FVKVSYRUB4XW0G73IUZTNMD874Z,3XJ64T7AMS3U1PLAX8HIE2XMD8HTWW,Poem Analysis,Read a poem and determine its mood and some key words.,"Poetry, poem, mood, keywords, text",$0.01 ,Fri Apr 12 11:14:09 PDT 2019,3,BatchId:3605104;OriginalHitTemplateId:928390877;,3600,259200,Fri Apr 19 11:14:09 PDT 2019,,,38BQUHLA9XF1GDBZTZPIFYS7EV6OM8,AMZ59DGY7I2ZI,Submitted,Fri Apr 12 11:39:05 PDT 2019,Fri Apr 12 11:39:52 PDT 2019,Mon Apr 15 11:39:52 PDT 2019,,,,47,0% (0/0),0% (0/0),0% (0/0),MASKS (Every Thing On It),"She had blue skin.<br>And so did he.<br>He kept it hid<br>And so did she.<br>They searched for blue<br>Their whole life through,<br>Then passed right by—<br>And never knew.",he,she,skin,Funny,,
