Title2,Title,Poem,first_line,line1,line2,line3,line4,line5,line6,line7
,A LIGHT IN THE ATTIC (A Light in the Attic),"There’s a light on in the attic.<br><br>
Though the house is dark and shuttered,<br><br>
I can see a flickerin’ flutter,<br><br>
And I know what it’s about.<br><br>
There’s a light on in the attic.<br><br>
I can see it from the outside,<br><br>
And I know you’re on the inside… lookin’ out.<br><br>",There‚Äôs a light on in the attic.,"It's dark outside,",but the shining inside the house,creates balance in my world.,I guess I need you more than you need me...,I wish that you would just understand,Hallo I‚Äôm your biggest fan.,Oooooooo ohhhh ahhoo oooo
,A LIGHT IN THE ATTIC (A Light in the Attic),"There’s a light on in the attic.<br><br>
Though the house is dark and shuttered,<br><br>
I can see a flickerin’ flutter,<br><br>
And I know what it’s about.<br><br>
There’s a light on in the attic.<br><br>
I can see it from the outside,<br><br>
And I know you’re on the inside… lookin’ out.<br><br>",There‚Äôs a light on in the attic.,"It's dark outside,",but the shining inside the house,creates balance in my world.,There‚Äôs a light on in the attic.,"It's dark outside,",but the shining inside the house,creates balance in my world.
,A LIGHT IN THE ATTIC (A Light in the Attic),"There’s a light on in the attic.<br><br>
Though the house is dark and shuttered,<br><br>
I can see a flickerin’ flutter,<br><br>
And I know what it’s about.<br><br>
There’s a light on in the attic.<br><br>
I can see it from the outside,<br><br>
And I know you’re on the inside… lookin’ out.<br><br>",There‚Äôs a light on in the attic.,"It's dark outside,",but the shining inside the house,creates balance in my world.,The sun is shining brightly,It is dark inside my soul,The brightness of the sun's rays,create balance in my world
,A LIGHT IN THE ATTIC (A Light in the Attic),"There’s a light on in the attic.<br><br>
Though the house is dark and shuttered,<br><br>
I can see a flickerin’ flutter,<br><br>
And I know what it’s about.<br><br>
There’s a light on in the attic.<br><br>
I can see it from the outside,<br><br>
And I know you’re on the inside… lookin’ out.<br><br>",There‚Äôs a light on in the attic.,Now the dark has company,Inside the attic are shadows,A marriage of dark and light,Two people face inside,As darkness continues to fade,"In the attic, the sound of laughter rings",This is the true light
,A LIGHT IN THE ATTIC (A Light in the Attic),"There’s a light on in the attic.<br><br>
Though the house is dark and shuttered,<br><br>
I can see a flickerin’ flutter,<br><br>
And I know what it’s about.<br><br>
There’s a light on in the attic.<br><br>
I can see it from the outside,<br><br>
And I know you’re on the inside… lookin’ out.<br><br>",There‚Äôs a light on in the attic.,Now the dark has company,Inside the attic are shadows,A marriage of dark and light,Sometimes a divorce is needed,Removing the light from the dark,Shadows have left the inside of the attic,I think we should leave for the park
,A LIGHT IN THE ATTIC (A Light in the Attic),"There’s a light on in the attic.<br><br>
Though the house is dark and shuttered,<br><br>
I can see a flickerin’ flutter,<br><br>
And I know what it’s about.<br><br>
There’s a light on in the attic.<br><br>
I can see it from the outside,<br><br>
And I know you’re on the inside… lookin’ out.<br><br>",There‚Äôs a light on in the attic.,Now the dark has company,Inside the attic are shadows,A marriage of dark and light,There's a light on in the attic.,Now the dark has company,Inside the attic are shadows,A marriage of dark and night
,A LIGHT IN THE ATTIC (A Light in the Attic),"There’s a light on in the attic.<br><br>
Though the house is dark and shuttered,<br><br>
I can see a flickerin’ flutter,<br><br>
And I know what it’s about.<br><br>
There’s a light on in the attic.<br><br>
I can see it from the outside,<br><br>
And I know you’re on the inside… lookin’ out.<br><br>",There‚Äôs a light on in the attic.,its not dark but do not panic,"its probably just that ghost,",who likes inside our attic the most!,"Lets go inside the attic,",and visit the ghost.,He hides inside a dark box,Since it is a bit cold.
,A LIGHT IN THE ATTIC (A Light in the Attic),"There’s a light on in the attic.<br><br>
Though the house is dark and shuttered,<br><br>
I can see a flickerin’ flutter,<br><br>
And I know what it’s about.<br><br>
There’s a light on in the attic.<br><br>
I can see it from the outside,<br><br>
And I know you’re on the inside… lookin’ out.<br><br>",There‚Äôs a light on in the attic.,its not dark but do not panic,"its probably just that ghost,",who likes inside our attic the most!,Inside the attic the silence is stark,and it's certainly very dark,I should be able to see alright,if I can simply turn on the light
,A LIGHT IN THE ATTIC (A Light in the Attic),"There’s a light on in the attic.<br><br>
Though the house is dark and shuttered,<br><br>
I can see a flickerin’ flutter,<br><br>
And I know what it’s about.<br><br>
There’s a light on in the attic.<br><br>
I can see it from the outside,<br><br>
And I know you’re on the inside… lookin’ out.<br><br>",There‚Äôs a light on in the attic.,its not dark but do not panic,"its probably just that ghost,",who likes inside our attic the most!,The attic he calls home.,"where he likes to be left alone,","so don't stay long in the dark up there,",or he'll invite you inside for a scare!
,CAPTAIN HOOK (Where the Sidewalk Ends),"Captain Hook must remember<br><br>
Not to scratch his toes.<br><br>
Captain Hook must watch out<br><br>
And never pick his nose.<br><br>
Captain Hook must be gentle<br><br>
When he shakes your hand.<br><br>
Captain hook must be careful<br><br>
Openin’ sardine cans<br><br>
And playing tag and pouring tea<br><br>
and turnin’ pages of this book.<br><br>
Lots of folks I’m glad I ain’t—<br><br>
But mostly Captain Hook!<br><br>",Captain Hook must remember,"santa comes every december,",of captain hooks antics  good little boys  be aware,be in bed be very careful   when santa comes you best be there!,Captain Hook must remember,"santa comes every december,",of captain hooks antics good little boys be aware,be in bed be very careful when santa comes you best be there!
