Title2,Title,Poem,first_line,line1,line2,line3,line4,line5,line6,line7
,A LIGHT IN THE ATTIC (A Light in the Attic),"There’s a light on in the attic.<br><br>
Though the house is dark and shuttered,<br><br>
I can see a flickerin’ flutter,<br><br>
And I know what it’s about.<br><br>
There’s a light on in the attic.<br><br>
I can see it from the outside,<br><br>
And I know you’re on the inside… lookin’ out.<br><br>",There‚Äôs a light on in the attic.,Neutral,Neutral,Neutral,inside it's dark,an attic is gloomy,turn on the light and Hark,it's really really roomy
,A LIGHT IN THE ATTIC (A Light in the Attic),"There’s a light on in the attic.<br><br>
Though the house is dark and shuttered,<br><br>
I can see a flickerin’ flutter,<br><br>
And I know what it’s about.<br><br>
There’s a light on in the attic.<br><br>
I can see it from the outside,<br><br>
And I know you’re on the inside… lookin’ out.<br><br>",There‚Äôs a light on in the attic.,where the dark shadows cast sparkles into the abyss,inside the doves take flight and the squirrel's delight with behaviour that is dramatic,if only to mark the time between the morning's first dew and the evenings short but sweet indigo kiss,i have a thought it was dark still and dry,sometimes i wonder when will it change till morning or the next,come by and see the mood is quite at times,all of the time
,A LIGHT IN THE ATTIC (A Light in the Attic),"There’s a light on in the attic.<br><br>
Though the house is dark and shuttered,<br><br>
I can see a flickerin’ flutter,<br><br>
And I know what it’s about.<br><br>
There’s a light on in the attic.<br><br>
I can see it from the outside,<br><br>
And I know you’re on the inside… lookin’ out.<br><br>",There‚Äôs a light on in the attic.,where the dark shadows cast sparkles into the abyss,inside the doves take flight and the squirrel's delight with behaviour that is dramatic,if only to mark the time between the morning's first dew and the evenings short but sweet indigo kiss,Only when the fading light makes it dark,Inside the the beamed room to read you'll stay,Attic space for you and squirrel and dove and lark,feel quiet solitude of of a few steady warm hours in a day
,A LIGHT IN THE ATTIC (A Light in the Attic),"There’s a light on in the attic.<br><br>
Though the house is dark and shuttered,<br><br>
I can see a flickerin’ flutter,<br><br>
And I know what it’s about.<br><br>
There’s a light on in the attic.<br><br>
I can see it from the outside,<br><br>
And I know you’re on the inside… lookin’ out.<br><br>",There‚Äôs a light on in the attic.,I turn it on when it's dark.,Most cars are static,inside a car park.,The light is not so bright.,In the attic where it is dark,the shadows can be a fright.,Inside is where I heard a bark.
,CAPTAIN HOOK (Where the Sidewalk Ends),"Captain Hook must remember<br><br>
Not to scratch his toes.<br><br>
Captain Hook must watch out<br><br>
And never pick his nose.<br><br>
Captain Hook must be gentle<br><br>
When he shakes your hand.<br><br>
Captain hook must be careful<br><br>
Openin’ sardine cans<br><br>
And playing tag and pouring tea<br><br>
and turnin’ pages of this book.<br><br>
Lots of folks I’m glad I ain’t—<br><br>
But mostly Captain Hook!<br><br>",Captain Hook must remember,Not to scratch his toes.,Captain Hook must watch out,And never pick his nose.,I took a hook,of captain morgan,careful poured just enough,of the rough ole stuff
,CAPTAIN HOOK (Where the Sidewalk Ends),"Captain Hook must remember<br><br>
Not to scratch his toes.<br><br>
Captain Hook must watch out<br><br>
And never pick his nose.<br><br>
Captain Hook must be gentle<br><br>
When he shakes your hand.<br><br>
Captain hook must be careful<br><br>
Openin’ sardine cans<br><br>
And playing tag and pouring tea<br><br>
and turnin’ pages of this book.<br><br>
Lots of folks I’m glad I ain’t—<br><br>
But mostly Captain Hook!<br><br>",Captain Hook must remember,Not to scratch his toes.,Captain Hook must watch out,And never pick his nose.,He picked his nose anyway,he wasn't careful and scratched his toes,Captain hook hid from the light of day,Because he now had a hook as a nose
,CAPTAIN HOOK (Where the Sidewalk Ends),"Captain Hook must remember<br><br>
Not to scratch his toes.<br><br>
Captain Hook must watch out<br><br>
And never pick his nose.<br><br>
Captain Hook must be gentle<br><br>
When he shakes your hand.<br><br>
Captain hook must be careful<br><br>
Openin’ sardine cans<br><br>
And playing tag and pouring tea<br><br>
and turnin’ pages of this book.<br><br>
Lots of folks I’m glad I ain’t—<br><br>
But mostly Captain Hook!<br><br>",Captain Hook must remember,Not to scratch his toes.,Captain Hook must watch out,And never pick his nose.,Captain Hook must remember,Not to rub his eyes,Captain Cook must watch out,And never zip up his flies
,CAPTAIN HOOK (Where the Sidewalk Ends),"Captain Hook must remember<br><br>
Not to scratch his toes.<br><br>
Captain Hook must watch out<br><br>
And never pick his nose.<br><br>
Captain Hook must be gentle<br><br>
When he shakes your hand.<br><br>
Captain hook must be careful<br><br>
Openin’ sardine cans<br><br>
And playing tag and pouring tea<br><br>
and turnin’ pages of this book.<br><br>
Lots of folks I’m glad I ain’t—<br><br>
But mostly Captain Hook!<br><br>",Captain Hook must remember,Careful read the funny words .,People around  him they looking,Funny words Captain Hook writing .,captain hook is not so scary,but careful you must be,captain hook is awful hairy,hairy as a bee
,CAPTAIN HOOK (Where the Sidewalk Ends),"Captain Hook must remember<br><br>
Not to scratch his toes.<br><br>
Captain Hook must watch out<br><br>
And never pick his nose.<br><br>
Captain Hook must be gentle<br><br>
When he shakes your hand.<br><br>
Captain hook must be careful<br><br>
Openin’ sardine cans<br><br>
And playing tag and pouring tea<br><br>
and turnin’ pages of this book.<br><br>
Lots of folks I’m glad I ain’t—<br><br>
But mostly Captain Hook!<br><br>",Captain Hook must remember,Careful read the funny words .,People around  him they looking,Funny words Captain Hook writing .,When the sailors saw,They couldn't keep their laughter in check,The punishment for each guffaw,Was swabbing the poop deck
,CAPTAIN HOOK (Where the Sidewalk Ends),"Captain Hook must remember<br><br>
Not to scratch his toes.<br><br>
Captain Hook must watch out<br><br>
And never pick his nose.<br><br>
Captain Hook must be gentle<br><br>
When he shakes your hand.<br><br>
Captain hook must be careful<br><br>
Openin’ sardine cans<br><br>
And playing tag and pouring tea<br><br>
and turnin’ pages of this book.<br><br>
Lots of folks I’m glad I ain’t—<br><br>
But mostly Captain Hook!<br><br>",Captain Hook must remember,Careful read the funny words .,People around  him they looking,Funny words Captain Hook writing .,the captain has a hook,careful he was not,forgot the safety book,and this is what he got
