title,first_line,keyword1,keyword2,keyword3,mood,crowdsourced_poem
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,",dreamer,story,invitation,Happy,"to my story<br>here is my invitation,<br>to see all the glory"
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,",dreamer,story,invitation,Happy,"Sit down and talk a while;<br>Whether you are fat or thin,<br>Let's some good vibes compile."
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,",dreamer,story,invitation,Happy,"share your dreams ,its an open invitation<br>come inside hear the story told,<br>keep your dreams alive and never get old."
"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?,friend,love,door,Happy,"My friend, my love<br>My heart leaps with each bang<br>Of that slamming screen door"
"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?,friend,love,door,Happy,How many slams in an old screen door?<br>Depends how loud you shut it<br>How many slices in a bread?
"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?,friend,love,door,Happy,"I ask you now, my friend<br>Does the noise ever end<br>Every time you slam the door."
LISTEN TO THE MUSTN’TS (Where the Sidewalk Ends),"Listen to the MUSTN’TS, child,",anything,child,shouldn'ts,Happy,"The world is untamed, the shouldn'ts are wild,<br>Hear the the should's and could's child,<br>Mankind's heart is anything but mild."
LISTEN TO THE MUSTN’TS (Where the Sidewalk Ends),"Listen to the MUSTN’TS, child,",anything,child,shouldn'ts,Happy,the SHOULDN'TS and nothing wild<br>If anything wild you hear<br>might change you child within a year.
LISTEN TO THE MUSTN’TS (Where the Sidewalk Ends),"Listen to the MUSTN’TS, child,",anything,child,shouldn'ts,Happy,"Anything and everything<br>The shouldn'ts, the shant's<br>Will drive you wild"
MASKS (Every Thing On It),She had blue skin.,skin,hid,passed,Sad,"she always hid,let no one in,<br>we noticed her  beauty as she passed<br>that blue skinned long purple haired lass"
MASKS (Every Thing On It),She had blue skin.,skin,hid,passed,Sad,Behind it hid the pain.<br>She had blue eyes.<br>The tears fell like rain.
MASKS (Every Thing On It),She had blue skin.,skin,hid,passed,Sad,She had blue skin.<br>And so did he.<br>He kept it hid
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,",pancake,griddle,swet,Funny,"a pancake made by my mom.<br>She griddled it with sugar and water.<br>Oh no! It's not water, it's her sweat!"
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,",pancake,griddle,swet,Funny,hot off the griddle<br>melted butter<br>and syrupy dribbles!
