"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.title","Input.first_line","Input.keyword1","Input.keyword2","Input.keyword3","Input.mood","Answer.line1","Answer.line2","Answer.line3","Approve","Reject"
"3UXQ63NLAA1U4H6BZGEFLIHURU3LBB","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","36DSNE9QZ6DBF55EQ2CQZ60QAPQJOQ","A3HT13QMYIQ6Q5","Submitted","Tue Apr 16 23:09:10 PDT 2019","Tue Apr 16 23:10:04 PDT 2019","Fri Apr 19 23:10:04 PDT 2019","","","","54","0% (0/0)","0% (0/0)","0% (0/0)","INVITATION (Where the Sidewalk Ends)","If you are a dreamer, come in,","dreamer","story","invitation","Happy","to my story","here is my invitation,","to see all the glory",,
"3UXQ63NLAA1U4H6BZGEFLIHURU3LBB","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3GD6L00D3TCGKL4YNXR732FZL6PM1K","A37SLQRKOALNV6","Submitted","Tue Apr 16 16:23:57 PDT 2019","Tue Apr 16 16:25:11 PDT 2019","Fri Apr 19 16:25:11 PDT 2019","","","","74","0% (0/0)","0% (0/0)","0% (0/0)","INVITATION (Where the Sidewalk Ends)","If you are a dreamer, come in,","dreamer","story","invitation","Happy","Sit down and talk a while;","Whether you are fat or thin,","Let's some good vibes compile.",,
"3UXQ63NLAA1U4H6BZGEFLIHURU3LBB","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3R5F3LQFV3Z1FKAI8OFCN0OGTOAOZP","A3OYZK65C2G39N","Submitted","Wed Apr 17 00:36:06 PDT 2019","Wed Apr 17 00:52:04 PDT 2019","Sat Apr 20 00:52:04 PDT 2019","","","","958","0% (0/0)","0% (0/0)","0% (0/0)","INVITATION (Where the Sidewalk Ends)","If you are a dreamer, come in,","dreamer","story","invitation","Happy","share your dreams ,its an open invitation","come inside hear the story told,","keep your dreams alive and never get old.",,
"3VGZ74AYTGVXSUKG2PDUJAI4DYHGC7","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","39JEC7537VGJXB85HMHI7UH3GYCVCO","A3D7OEB9J0KN0C","Submitted","Tue Apr 16 22:46:42 PDT 2019","Tue Apr 16 22:49:01 PDT 2019","Fri Apr 19 22:49:01 PDT 2019","","","","139","0% (0/0)","0% (0/0)","0% (0/0)","HOW MANY, HOW MUCH (A Light in the Attic)","How many slams in an old screen door?","friend","love","door","Happy","My friend, my love","My heart leaps with each bang","Of that slamming screen door",,
"3VGZ74AYTGVXSUKG2PDUJAI4DYHGC7","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3HOSI13XH0378MEXQXCZLETE1RMDD9","A33BQSQETWHO8R","Submitted","Tue Apr 16 23:02:52 PDT 2019","Tue Apr 16 23:04:39 PDT 2019","Fri Apr 19 23:04:39 PDT 2019","","","","107","0% (0/0)","0% (0/0)","0% (0/0)","HOW MANY, HOW MUCH (A Light in the Attic)","How many slams in an old screen door?","friend","love","door","Happy","How many slams in an old screen door?","Depends how loud you shut it","How many slices in a bread?",,
"3VGZ74AYTGVXSUKG2PDUJAI4DYHGC7","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3WMINLGALCIZ5N576RQMB73QVMBACY","A2DCY0ANVT2BAW","Submitted","Tue Apr 16 17:40:07 PDT 2019","Tue Apr 16 17:41:11 PDT 2019","Fri Apr 19 17:41:11 PDT 2019","","","","64","0% (0/0)","0% (0/0)","0% (0/0)","HOW MANY, HOW MUCH (A Light in the Attic)","How many slams in an old screen door?","friend","love","door","Happy","I ask you now, my friend","Does the noise ever end","Every time you slam the door.",,
"39WICJI5AT796BJ2ZOQIBEUGIBY3ZL","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","39KFRKBFIOA1AU0DC2DT9TFENSBYO9","A15VCKELIEEPJN","Submitted","Tue Apr 16 18:20:14 PDT 2019","Tue Apr 16 18:24:09 PDT 2019","Fri Apr 19 18:24:09 PDT 2019","","","","235","0% (0/0)","0% (0/0)","0% (0/0)","LISTEN TO THE MUSTN’TS (Where the Sidewalk Ends)","Listen to the MUSTN’TS, child,","anything","child","shouldn'ts","Happy","The world is untamed, the shouldn'ts are wild,","Hear the the should's and could's child,","Mankind's heart is anything but mild.",,
"39WICJI5AT796BJ2ZOQIBEUGIBY3ZL","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3M0NZ3JDP2DF7A4039JDEUOPCT3Z5T","A3OYZK65C2G39N","Submitted","Wed Apr 17 00:06:56 PDT 2019","Wed Apr 17 00:10:02 PDT 2019","Sat Apr 20 00:10:02 PDT 2019","","","","186","0% (0/0)","0% (0/0)","0% (0/0)","LISTEN TO THE MUSTN’TS (Where the Sidewalk Ends)","Listen to the MUSTN’TS, child,","anything","child","shouldn'ts","Happy","the SHOULDN'TS and nothing wild","If anything wild you hear","might change you child within a year.",,
"39WICJI5AT796BJ2ZOQIBEUGIBY3ZL","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3MHW492WW1SW6XKWUBBWAQMFACHVM7","A3D7OEB9J0KN0C","Submitted","Tue Apr 16 23:02:50 PDT 2019","Tue Apr 16 23:04:06 PDT 2019","Fri Apr 19 23:04:06 PDT 2019","","","","76","0% (0/0)","0% (0/0)","0% (0/0)","LISTEN TO THE MUSTN’TS (Where the Sidewalk Ends)","Listen to the MUSTN’TS, child,","anything","child","shouldn'ts","Happy","Anything and everything","The shouldn'ts, the shant's","Will drive you wild",,
"3H5TOKO3D9YS0XIVXXYQOLTRR7X64I","3G39WTVP4CO8OXYZXH2NUHOSVU66LB","Be the Poet!","Write a short (3 line) poem","Poetry, poem, mood, keywords, text","$0.01","Tue Apr 16 15:58:31 PDT 2019","3","BatchId:3610020;OriginalHitTemplateId:928390828;","3600","259200","Tue Apr 23 15:58:31 PDT 2019","","","3CPLWGV3MPE4R8ST3BL0VNMIOBC9NB","A3OYZK65C2G39N","Submitted","Tue Apr 16 23:48:21 PDT 2019","Tue Apr 16 23:52:54 PDT 2019","Fri Apr 19 23:52:54 PDT 2019","","","","273","0% (0/0)","0% (0/0)","0% (0/0)","MASKS (Every Thing On It)","She had blue skin.","skin","hid","passed","Sad","she always hid,let no one in,","we noticed her  beauty as she passed","that blue skinned long purple haired lass",,
