title,stanza,is_english,encompass_mood,encompass_keywords,rhymes,good_poem
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,
you don't need an invitation
let your story begin
do well on your nation",3,3,3,3,1
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,
Your story we want to hear
Your invitation has been
The highlight of of everyone's year",3,3,3,3,3
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,
Invitation to you as all have a story to tell
You are a wonderful dreamer like all the kin
You words like chirping or a bell",3,2,3,3,2
"HOW MANY, HOW MUCH (A Light in the Attic)","How many slams in an old screen door?
How many friends must knock it to the ground?
How many times will we pick it up from the floor?
As many times as we hear that sound.",3,1,3,3,1
"HOW MANY, HOW MUCH (A Light in the Attic)","How many slams in an old screen door?
Many friends come and go
That sound is something I adore
It means I'm love and exceedingly so",3,3,3,3,1
"HOW MANY, HOW MUCH (A Light in the Attic)","How many slams in an old screen door?
take a guess my friend
love your hammer just like thor
and ride or die until the end",3,2,2,3,0
LISTEN TO THE MUSTNâ€™TS (Where the Sidewalk Ends),"Listen to the MUSTNâ€™TS, child,
But don't let the shouldn'ts get you down
Be free, run wild
Anything goes on the merry-go-round",3,3,3,3,2
LISTEN TO THE MUSTNâ€™TS (Where the Sidewalk Ends),"Listen to the MUSTNâ€™TS, child,
i will do anything for you
we will have child and many things to do
we shouldn'ts be fighting, and be happy in this mood",3,1,3,0,0
LISTEN TO THE MUSTNâ€™TS (Where the Sidewalk Ends),"Listen to the MUSTNâ€™TS, child,
Listen to the DON'TS
Listen to the SHOULDN'TS
The IMPOSSIBLES, the WONT'S",3,1,2,1,2
MASKS (Every Thing On It),"She had blue skin.
that hid from the kin
shallow into the night
hidden in fright",3,2,2,0,1
MASKS (Every Thing On It),"She had blue skin.
Her soul hid itself in death.
The next of kin sighed and wept.
Mourning the kid who had passed.",3,3,3,0,2
MASKS (Every Thing On It),"She had blue skin.
With blue eyes to match.
She didn't know what love meant within.
There is another blue heart out in the world, she is hoping to catch",3,3,0,3,1
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,
Sweet and piping hot?
Good little Grace looks up and says,
""I'll take the one on top.""",3,3,3,1,2
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,
The griddle is hot
Sweet yummy pancakes
Buttery goodness in the pot.",3,3,3,2,1
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,
All Syrupy and Sweet?
Stir the batter, give it a shake
Brown and Flip, now isn't that neat.",3,3,1,3,1
SNOWBALL (Falling Up),"I made myself a snowball
And got my pajamas soaking wet
I didn't sleep a wink at all
until dry pajamas I did get",3,3,3,3,2
SNOWBALL (Falling Up),"I made myself a snowball
In my pajamas, still half awake
Dashed it on the wall
Woosh! I'm out of my sleep it was all over her face, the cake.",3,2,3,3,0
SNOWBALL (Falling Up),"I made myself a snowball
As perfect as can be.
I thought I'd keep it as a pet,
And let it sleep with me.",3,2,3,1,3
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,
A pair of beautiful blues.
But had a few hard knocks
Because I forgot my shoes!",3,3,3,3,3
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,
before I put on my shoes
I can't believe I almost forgot
something like this could feel so beautiful",3,2,3,2,1
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,
I know this truer than do not
for where my stash of beautiful rocks
is what i had forgot",3,1,2,3,0
UNDERFACE (Every Thing On It),"Underneath my outside face
Underneath my mast
Hides a smiley face
I once wore in the past",3,3,2,1,2
UNDERFACE (Every Thing On It),"Underneath my outside face
I'm free as any bird
My mind can roam to any place
and sniley's not a word",3,2,3,3,3
UNDERFACE (Every Thing On It),"Underneath my outside face
There's a face that none can see.
A little less smiley,
A little less sure,",3,3,3,0,2
