title,first_line,keyword1,keyword2,keyword3,mood,line1,line2,line3
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,",dreamer,story,invitation,Happy,you don't need an invitation,let your story begin,do well on your nation
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,",dreamer,story,invitation,Happy,Your story we want to hear,Your invitation has been,The highlight of of everyone's year
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,",dreamer,story,invitation,Happy,Invitation to you as all have a story to tell,You are a wonderful dreamer like all the kin,You words like chirping or a bell
"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?,friend,love,door,Happy,How many friends must knock it to the ground?,How many times will we pick it up from the floor?,As many times as we hear that sound.
"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?,friend,love,door,Happy,Many friends come and go,That sound is something I adore,It means I'm love and exceedingly so
"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?,friend,love,door,Happy,take a guess my friend,love your hammer just like thor,and ride or die until the end
LISTEN TO THE MUSTN’TS (Where the Sidewalk Ends),"Listen to the MUSTN’TS, child,",anything,child,shouldn'ts,Happy,But don't let the shouldn'ts get you down,"Be free, run wild",Anything goes on the merry-go-round
LISTEN TO THE MUSTN’TS (Where the Sidewalk Ends),"Listen to the MUSTN’TS, child,",anything,child,shouldn'ts,Happy,i will do anything for you,we will have child and many things to do,"we shouldn'ts be fighting, and be happy in this mood"
LISTEN TO THE MUSTN’TS (Where the Sidewalk Ends),"Listen to the MUSTN’TS, child,",anything,child,shouldn'ts,Happy,Listen to the DON'TS,Listen to the SHOULDN'TS,"The IMPOSSIBLES, the WONT'S"
MASKS (Every Thing On It),She had blue skin.,skin,hid,passed,Sad,that hid from the kin,shallow into the night,hidden in fright
MASKS (Every Thing On It),She had blue skin.,skin,hid,passed,Sad,Her soul hid itself in death.,The next of kin sighed and wept.,Mourning the kid who had passed.
MASKS (Every Thing On It),She had blue skin.,skin,hid,passed,Sad,With blue eyes to match.,She didn't know what love meant within.,"There is another blue heart out in the world, she is hoping to catch"
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,",pancake,griddle,swet,Funny,Sweet and piping hot?,"Good little Grace looks up and says,","""I'll take the one on top."""
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,",pancake,griddle,swet,Funny,The griddle is hot,Sweet yummy pancakes,Buttery goodness in the pot.
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,",pancake,griddle,swet,Funny,All Syrupy and Sweet?,"Stir the batter, give it a shake","Brown and Flip, now isn't that neat."
SNOWBALL (Falling Up),I made myself a snowball,snowball,pajamas,sleep,Funny,And got my pajamas soaking wet,I didn't sleep a wink at all,until dry pajamas I did get
SNOWBALL (Falling Up),I made myself a snowball,snowball,pajamas,sleep,Funny,"In my pajamas, still half awake",Dashed it on the wall,"Woosh! I'm out of my sleep it was all over her face, the cake."
SNOWBALL (Falling Up),I made myself a snowball,snowball,pajamas,sleep,Funny,As perfect as can be.,"I thought I'd keep it as a pet,",And let it sleep with me.
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,",forgot,socks,beautiful,Funny,A pair of beautiful blues.,But had a few hard knocks,Because I forgot my shoes!
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,",forgot,socks,beautiful,Funny,before I put on my shoes,I can't believe I almost forgot,something like this could feel so beautiful
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,",forgot,socks,beautiful,Funny,I know this truer than do not,for where my stash of beautiful rocks,is what i had forgot
UNDERFACE (Every Thing On It),Underneath my outside face,face,underneath,sniley,Sad,Underneath my mast,Hides a smiley face,I once wore in the past
UNDERFACE (Every Thing On It),Underneath my outside face,face,underneath,sniley,Sad,I'm free as any bird,My mind can roam to any place,and sniley's not a word
UNDERFACE (Every Thing On It),Underneath my outside face,face,underneath,sniley,Sad,There's a face that none can see.,"A little less smiley,","A little less sure,"
I WON’T HATCH (Where the Sidewalk Ends),"Oh I am a chicken who lives in an egg,",chicken,egg,hatch,Sad,It's not a bad old life,But I am far too scared to hatch,for KFC is rife.
I WON’T HATCH (Where the Sidewalk Ends),"Oh I am a chicken who lives in an egg,",chicken,egg,hatch,Sad,A chicken who was layed to die,I don't even need to beg,I hatch then I say goodbye
I WON’T HATCH (Where the Sidewalk Ends),"Oh I am a chicken who lives in an egg,",chicken,egg,hatch,Sad,I come out with lots of dreams,"Grow Up, Grow Up",My Life Ends Sad.
PUT SOMETHING IN (A Light in the Attic),"Draw a crazy picture,",silly,picture,poem,Happy,With lines of grass and loam,Then add a drop of tincture,To complete your silly poem
PUT SOMETHING IN (A Light in the Attic),"Draw a crazy picture,",silly,picture,poem,Happy,Silly as can be.,"Draw a crazy picture,",Write a poem just for me.
PUT SOMETHING IN (A Light in the Attic),"Draw a crazy picture,",silly,picture,poem,Happy,"Write a nutty poem,","Sing a mumble-gumble song,",Whistle through your comb.
YESEES AND NOEES (Every Thing On It),The Yesees said yes to anything,yesees,noees,thinkforyourselfees,Sad,the noees sit down to rest,think for yourself before banishing,the fees you pay are the best
YESEES AND NOEES (Every Thing On It),The Yesees said yes to anything,yesees,noees,thinkforyourselfees,Sad,That anyone suggested,The Noees said no to everything,Unless it was proven and tested
YESEES AND NOEES (Every Thing On It),The Yesees said yes to anything,yesees,noees,thinkforyourselfees,Sad,The Noess said no to everyone,The thinkforyourselfees wanted to sing,Since no one was happy they had no fun.
HUG O’WAR (Where the Sidewalk Ends),I will not play tug o’ war.,giggles,wins,grins,Happy,For Im a winner before the tug begins,Im always a winner and all of my grins show,that im always happy without the tug o' war
HUG O’WAR (Where the Sidewalk Ends),I will not play tug o’ war.,giggles,wins,grins,Happy,For Brandon always wins,He giggles like a maniac,Then turns away and grins
HUG O’WAR (Where the Sidewalk Ends),I will not play tug o’ war.,giggles,wins,grins,Happy,"The giggles, gaggles, and laughs.","Making the one who wins look silly,",With dusty grins that last and last.
