title,first_line,keyword1,keyword2,keyword3,mood,line1,line2,line3,isEnglish.no,isEnglish.yes,isGoodPoem.no,isGoodPoem.yes,reflectsMood.no,reflectsMood.yes,rhymes.no,rhymes.yes,whichKeywords.key1,whichKeywords.key2,whichKeywords.key3
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,",dreamer,story,invitation,Happy,you don't need an invitation,let your story begin,do well on your nation,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,",dreamer,story,invitation,Happy,you don't need an invitation,let your story begin,do well on your nation,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,",dreamer,story,invitation,Happy,you don't need an invitation,let your story begin,do well on your nation,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,",dreamer,story,invitation,Happy,Your story we want to hear,Your invitation has been,The highlight of of everyone's year,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,",dreamer,story,invitation,Happy,Your story we want to hear,Your invitation has been,The highlight of of everyone's year,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,",dreamer,story,invitation,Happy,Your story we want to hear,Your invitation has been,The highlight of of everyone's year,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,",dreamer,story,invitation,Happy,Invitation to you as all have a story to tell,You are a wonderful dreamer like all the kin,You words like chirping or a bell,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,",dreamer,story,invitation,Happy,Invitation to you as all have a story to tell,You are a wonderful dreamer like all the kin,You words like chirping or a bell,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
INVITATION (Where the Sidewalk Ends),"If you are a dreamer, come in,",dreamer,story,invitation,Happy,Invitation to you as all have a story to tell,You are a wonderful dreamer like all the kin,You words like chirping or a bell,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?,friend,love,door,Happy,How many friends must knock it to the ground?,How many times will we pick it up from the floor?,As many times as we hear that sound.,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?,friend,love,door,Happy,How many friends must knock it to the ground?,How many times will we pick it up from the floor?,As many times as we hear that sound.,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?,friend,love,door,Happy,How many friends must knock it to the ground?,How many times will we pick it up from the floor?,As many times as we hear that sound.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?,friend,love,door,Happy,Many friends come and go,That sound is something I adore,It means I'm love and exceedingly so,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?,friend,love,door,Happy,Many friends come and go,That sound is something I adore,It means I'm love and exceedingly so,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?,friend,love,door,Happy,Many friends come and go,That sound is something I adore,It means I'm love and exceedingly so,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?,friend,love,door,Happy,take a guess my friend,love your hammer just like thor,and ride or die until the end,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?,friend,love,door,Happy,take a guess my friend,love your hammer just like thor,and ride or die until the end,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"HOW MANY, HOW MUCH (A Light in the Attic)",How many slams in an old screen door?,friend,love,door,Happy,take a guess my friend,love your hammer just like thor,and ride or die until the end,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
LISTEN TO THE MUSTNâ€™TS (Where the Sidewalk Ends),"Listen to the MUSTNâ€™TS, child,",anything,child,shouldn'ts,Happy,But don't let the shouldn'ts get you down,"Be free, run wild",Anything goes on the merry-go-round,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
LISTEN TO THE MUSTNâ€™TS (Where the Sidewalk Ends),"Listen to the MUSTNâ€™TS, child,",anything,child,shouldn'ts,Happy,But don't let the shouldn'ts get you down,"Be free, run wild",Anything goes on the merry-go-round,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
LISTEN TO THE MUSTNâ€™TS (Where the Sidewalk Ends),"Listen to the MUSTNâ€™TS, child,",anything,child,shouldn'ts,Happy,But don't let the shouldn'ts get you down,"Be free, run wild",Anything goes on the merry-go-round,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
LISTEN TO THE MUSTNâ€™TS (Where the Sidewalk Ends),"Listen to the MUSTNâ€™TS, child,",anything,child,shouldn'ts,Happy,i will do anything for you,we will have child and many things to do,"we shouldn'ts be fighting, and be happy in this mood",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
LISTEN TO THE MUSTNâ€™TS (Where the Sidewalk Ends),"Listen to the MUSTNâ€™TS, child,",anything,child,shouldn'ts,Happy,i will do anything for you,we will have child and many things to do,"we shouldn'ts be fighting, and be happy in this mood",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
LISTEN TO THE MUSTNâ€™TS (Where the Sidewalk Ends),"Listen to the MUSTNâ€™TS, child,",anything,child,shouldn'ts,Happy,i will do anything for you,we will have child and many things to do,"we shouldn'ts be fighting, and be happy in this mood",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
LISTEN TO THE MUSTNâ€™TS (Where the Sidewalk Ends),"Listen to the MUSTNâ€™TS, child,",anything,child,shouldn'ts,Happy,Listen to the DON'TS,Listen to the SHOULDN'TS,"The IMPOSSIBLES, the WONT'S",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
LISTEN TO THE MUSTNâ€™TS (Where the Sidewalk Ends),"Listen to the MUSTNâ€™TS, child,",anything,child,shouldn'ts,Happy,Listen to the DON'TS,Listen to the SHOULDN'TS,"The IMPOSSIBLES, the WONT'S",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
LISTEN TO THE MUSTNâ€™TS (Where the Sidewalk Ends),"Listen to the MUSTNâ€™TS, child,",anything,child,shouldn'ts,Happy,Listen to the DON'TS,Listen to the SHOULDN'TS,"The IMPOSSIBLES, the WONT'S",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
MASKS (Every Thing On It),She had blue skin.,skin,hid,passed,Sad,that hid from the kin,shallow into the night,hidden in fright,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
MASKS (Every Thing On It),She had blue skin.,skin,hid,passed,Sad,that hid from the kin,shallow into the night,hidden in fright,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
MASKS (Every Thing On It),She had blue skin.,skin,hid,passed,Sad,that hid from the kin,shallow into the night,hidden in fright,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
MASKS (Every Thing On It),She had blue skin.,skin,hid,passed,Sad,Her soul hid itself in death.,The next of kin sighed and wept.,Mourning the kid who had passed.,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
MASKS (Every Thing On It),She had blue skin.,skin,hid,passed,Sad,Her soul hid itself in death.,The next of kin sighed and wept.,Mourning the kid who had passed.,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
MASKS (Every Thing On It),She had blue skin.,skin,hid,passed,Sad,Her soul hid itself in death.,The next of kin sighed and wept.,Mourning the kid who had passed.,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
MASKS (Every Thing On It),She had blue skin.,skin,hid,passed,Sad,With blue eyes to match.,She didn't know what love meant within.,"There is another blue heart out in the world, she is hoping to catch",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
MASKS (Every Thing On It),She had blue skin.,skin,hid,passed,Sad,With blue eyes to match.,She didn't know what love meant within.,"There is another blue heart out in the world, she is hoping to catch",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
MASKS (Every Thing On It),She had blue skin.,skin,hid,passed,Sad,With blue eyes to match.,She didn't know what love meant within.,"There is another blue heart out in the world, she is hoping to catch",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,",pancake,griddle,swet,Funny,Sweet and piping hot?,"Good little Grace looks up and says,","""I'll take the one on top.""",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,",pancake,griddle,swet,Funny,Sweet and piping hot?,"Good little Grace looks up and says,","""I'll take the one on top.""",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,",pancake,griddle,swet,Funny,Sweet and piping hot?,"Good little Grace looks up and says,","""I'll take the one on top.""",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,",pancake,griddle,swet,Funny,The griddle is hot,Sweet yummy pancakes,Buttery goodness in the pot.,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,",pancake,griddle,swet,Funny,The griddle is hot,Sweet yummy pancakes,Buttery goodness in the pot.,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,",pancake,griddle,swet,Funny,The griddle is hot,Sweet yummy pancakes,Buttery goodness in the pot.,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,",pancake,griddle,swet,Funny,All Syrupy and Sweet?,"Stir the batter, give it a shake","Brown and Flip, now isn't that neat.",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,",pancake,griddle,swet,Funny,All Syrupy and Sweet?,"Stir the batter, give it a shake","Brown and Flip, now isn't that neat.",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
PANCAKE? (Where the Sidewalk Ends),"Who wants a pancake,",pancake,griddle,swet,Funny,All Syrupy and Sweet?,"Stir the batter, give it a shake","Brown and Flip, now isn't that neat.",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
SNOWBALL (Falling Up),I made myself a snowball,snowball,pajamas,sleep,Funny,And got my pajamas soaking wet,I didn't sleep a wink at all,until dry pajamas I did get,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
SNOWBALL (Falling Up),I made myself a snowball,snowball,pajamas,sleep,Funny,And got my pajamas soaking wet,I didn't sleep a wink at all,until dry pajamas I did get,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
SNOWBALL (Falling Up),I made myself a snowball,snowball,pajamas,sleep,Funny,And got my pajamas soaking wet,I didn't sleep a wink at all,until dry pajamas I did get,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
SNOWBALL (Falling Up),I made myself a snowball,snowball,pajamas,sleep,Funny,"In my pajamas, still half awake",Dashed it on the wall,"Woosh! I'm out of my sleep it was all over her face, the cake.",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
SNOWBALL (Falling Up),I made myself a snowball,snowball,pajamas,sleep,Funny,"In my pajamas, still half awake",Dashed it on the wall,"Woosh! I'm out of my sleep it was all over her face, the cake.",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
SNOWBALL (Falling Up),I made myself a snowball,snowball,pajamas,sleep,Funny,"In my pajamas, still half awake",Dashed it on the wall,"Woosh! I'm out of my sleep it was all over her face, the cake.",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
SNOWBALL (Falling Up),I made myself a snowball,snowball,pajamas,sleep,Funny,As perfect as can be.,"I thought I'd keep it as a pet,",And let it sleep with me.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
SNOWBALL (Falling Up),I made myself a snowball,snowball,pajamas,sleep,Funny,As perfect as can be.,"I thought I'd keep it as a pet,",And let it sleep with me.,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
SNOWBALL (Falling Up),I made myself a snowball,snowball,pajamas,sleep,Funny,As perfect as can be.,"I thought I'd keep it as a pet,",And let it sleep with me.,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,",forgot,socks,beautiful,Funny,A pair of beautiful blues.,But had a few hard knocks,Because I forgot my shoes!,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,",forgot,socks,beautiful,Funny,A pair of beautiful blues.,But had a few hard knocks,Because I forgot my shoes!,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,",forgot,socks,beautiful,Funny,A pair of beautiful blues.,But had a few hard knocks,Because I forgot my shoes!,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,",forgot,socks,beautiful,Funny,before I put on my shoes,I can't believe I almost forgot,something like this could feel so beautiful,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,",forgot,socks,beautiful,Funny,before I put on my shoes,I can't believe I almost forgot,something like this could feel so beautiful,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,",forgot,socks,beautiful,Funny,before I put on my shoes,I can't believe I almost forgot,something like this could feel so beautiful,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,",forgot,socks,beautiful,Funny,I know this truer than do not,for where my stash of beautiful rocks,is what i had forgot,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,",forgot,socks,beautiful,Funny,I know this truer than do not,for where my stash of beautiful rocks,is what i had forgot,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
SOMETHING MISSING (A Light in the Attic),"I remember I put on my socks,",forgot,socks,beautiful,Funny,I know this truer than do not,for where my stash of beautiful rocks,is what i had forgot,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
UNDERFACE (Every Thing On It),Underneath my outside face,face,underneath,sniley,Sad,Underneath my mast,Hides a smiley face,I once wore in the past,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
