HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.title,Input.keyword1,Input.keyword2,Input.keyword3,Input.mood,Input.first_line,Input.line1,Input.line2,Input.line3,Answer.line1,Answer.line2,Answer.line3,Answer.line4,Approve,Reject
3CMV9YRYP3AXP0K4819IQCW3H2TJL8,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Mon May 06 17:25:40 PDT 2019,,,3HRMW88U17ZCGWZXC85TW4SJNKZM0N,APZ5LEF7SXHP7,Submitted,Mon May 06 00:38:36 PDT 2019,Mon May 06 00:47:56 PDT 2019,Mon May 13 00:47:56 PDT 2019,,,,560,0% (0/0),0% (0/0),0% (0/0),INVITATION (Where the Sidewalk Ends),dreamer,story,invitation,Happy,"If you are a dreamer, come in,",you don't need an invitation,let your story begin,do well on your nation,Let your story motivate the nation,Because you are dreamer,Your invitation is in motion,And it's loud like a screamer,,
3CMV9YRYP3AXP0K4819IQCW3H2TJL8,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Mon May 06 17:25:40 PDT 2019,,,3JZQSN0I3RJ3LQI14NQJM6VQXX1GFW,A1FE66V4XNL333,Submitted,Sun May 05 10:42:54 PDT 2019,Sun May 05 10:48:57 PDT 2019,Sun May 12 10:48:57 PDT 2019,,,,363,0% (0/0),0% (0/0),0% (0/0),INVITATION (Where the Sidewalk Ends),dreamer,story,invitation,Happy,"If you are a dreamer, come in,",you don't need an invitation,let your story begin,do well on your nation,and stand your ground,"for happiness is gift,",Yes it can be found,dreamer or not this is your story,,
3LN3BXKGC0439S6249VH2AL3NHGGWU,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,31N2WW6R9SZ2RE6D98JZ3C6HTXNF3O,AWICF2BXYD6YQ,Submitted,Mon May 06 05:02:23 PDT 2019,Mon May 06 05:04:11 PDT 2019,Mon May 13 05:04:11 PDT 2019,,,,108,0% (0/0),0% (0/0),0% (0/0),INVITATION (Where the Sidewalk Ends),dreamer,story,invitation,Happy,"If you are a dreamer, come in,",Your story we want to hear,Your invitation has been,The highlight of of everyone's year,"You are a dreamer, so sing,",A story you hold so dear,This invitation you've sung,Shall remove everyone's fear,,
3LN3BXKGC0439S6249VH2AL3NHGGWU,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,3ATPCQ38J9J8BQMTNDQXF5R35CDAY8,A3HXM7BGH18FOW,Submitted,Sun May 05 04:18:35 PDT 2019,Sun May 05 04:20:04 PDT 2019,Sun May 12 04:20:04 PDT 2019,,,,89,0% (0/0),0% (0/0),0% (0/0),INVITATION (Where the Sidewalk Ends),dreamer,story,invitation,Happy,"If you are a dreamer, come in,",Your story we want to hear,Your invitation has been,The highlight of of everyone's year,A story of foreign lands,Of tales that seem too tall,"In ovation, everyone stands","Dreamers, aren't we all?",,
3LN3BXKGC0439S6249VH2AL3NHGGWU,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,3Y4W8Q93L0TP53U02CUFY7VF8ZRDVP,A239B4RL76LE7S,Submitted,Sun May 05 13:45:38 PDT 2019,Sun May 05 13:46:58 PDT 2019,Sun May 12 13:46:58 PDT 2019,,,,80,0% (0/0),0% (0/0),0% (0/0),INVITATION (Where the Sidewalk Ends),dreamer,story,invitation,Happy,"If you are a dreamer, come in,",Your story we want to hear,Your invitation has been,The highlight of of everyone's year,I say I am a dreamer,My story will continue now,Your invitation was sent with a streamer,My story I will chart anyhow,,
37SOB9Z0SS6M4MIF5GHVA5FEL573LG,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Mon May 06 17:25:40 PDT 2019,,,3SUWZRL0MZM9IJTZXZXRSXX1RO86E3,A2KNRHA1WO8H4V,Submitted,Mon May 06 08:47:19 PDT 2019,Mon May 06 08:50:44 PDT 2019,Mon May 13 08:50:44 PDT 2019,,,,205,0% (0/0),0% (0/0),0% (0/0),INVITATION (Where the Sidewalk Ends),dreamer,story,invitation,Happy,"If you are a dreamer, come in,",Invitation to you as all have a story to tell,You are a wonderful dreamer like all the kin,You words like chirping or a bell,if you are a dreamer,you will hear my story about frog and a lady,they wasn't shady but they a mercedes that dazzled,my invitation to you join the ride to a lagoon,,
3DTJ4WT8BDO9J9FG91P01BU9R34ZEL,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,3DOCMVPBTONLJAC4PFMRKVDW0YQNNV,A2TTAG8NJ9EOIE,Submitted,Sat May 04 23:30:17 PDT 2019,Sat May 04 23:31:41 PDT 2019,Sat May 11 23:31:41 PDT 2019,,,,84,0% (0/0),0% (0/0),0% (0/0),"HOW MANY, HOW MUCH (A Light in the Attic)",friend,love,door,Happy,How many slams in an old screen door?,How many friends must knock it to the ground?,How many times will we pick it up from the floor?,As many times as we hear that sound.,A friend in need,and the helping hand,need or hand,question on hand,,
3DTJ4WT8BDO9J9FG91P01BU9R34ZEL,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,3MHW492WW1MS9X0DF5TIHXI9HD9VMF,A2QOPC1ZJGD4V1,Submitted,Sun May 05 11:53:53 PDT 2019,Sun May 05 11:56:44 PDT 2019,Sun May 12 11:56:44 PDT 2019,,,,171,0% (0/0),0% (0/0),0% (0/0),"HOW MANY, HOW MUCH (A Light in the Attic)",friend,love,door,Happy,How many slams in an old screen door?,How many friends must knock it to the ground?,How many times will we pick it up from the floor?,As many times as we hear that sound.,How many ways can I love my friend.,You are always there for me.,When one door in my life closes.,You boost me up and make me happy.,,
3DTJ4WT8BDO9J9FG91P01BU9R34ZEL,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,3X66WABAJXR85E28KSPHLX6TUDL3GB,A3FOQKH42DTA0U,Submitted,Mon May 06 08:47:38 PDT 2019,Mon May 06 08:49:38 PDT 2019,Mon May 13 08:49:38 PDT 2019,,,,120,0% (0/0),0% (0/0),0% (0/0),"HOW MANY, HOW MUCH (A Light in the Attic)",friend,love,door,Happy,How many slams in an old screen door?,How many friends must knock it to the ground?,How many times will we pick it up from the floor?,As many times as we hear that sound.,They say that wood is but memory,The glass is blue,That's why this piece is contemporary,And your clue is that the grass is true,,
3E6L1VR4XWVZ1DV127CVMVMEY0N6FK,3H63IRCKX3PDP4MCU4U487QWHDZE8T,Writing Poetry!,The first stanza of a poem is written; write a second stanza to finish the poem.,"poetry, writing, rhyming",$0.01 ,Sat May 04 21:04:39 PDT 2019,3,BatchId:3631177;OriginalHitTemplateId:928390828;,3600,604800,Sat May 11 21:04:39 PDT 2019,,,340UGXU9DZABM55MO7K487Z3U1WUVU,A3J3IXX1UONTRO,Submitted,Sun May 05 21:31:46 PDT 2019,Sun May 05 21:37:48 PDT 2019,Sun May 12 21:37:48 PDT 2019,,,,362,0% (0/0),0% (0/0),0% (0/0),"HOW MANY, HOW MUCH (A Light in the Attic)",friend,love,door,Happy,How many slams in an old screen door?,Many friends come and go,That sound is something I adore,It means I'm love and exceedingly so,"I am Mom, Grandma, Aunt, or Friend",With each slam of that rickety old door,Something I never want to end,For I love it more and more,,
